domain	page_count
iwm-tuebingen.de	2827
sched.com	2724
unict.it	2605
uni-tuebingen.de	1642
wanderlog.com	1528
ellis.eu	1523
app.link	1429
kb.se	1414
huggingface.co	1402
cyber-valley.de	1327
factgrid.de	1255
github.io	1153
outdooractive.com	984
zxc.wiki	921
jewishstudies.de	866
bookinghealth.com	803
thetrainline.com	735
findagrave.com	708
tracesofevil.com	694
mpg.de	679
openarchieven.nl	671
ibs-bw.de	629
wikimedia.org	616
nmi.de	606
myscience.de	550
frontiersin.org	546
myscience.org	541
github.com	521
weigelworld.org	511
scribd.com	494
openlibrary.org	491
gotouniversity.com	487
ohne-makler.net	467
hih-tuebingen.de	428
uni-stuttgart.de	427
ellis.institute	420
my-stuwe.de	403
wikipedia.org	392
german-hospital-directory.com	391
researchgate.net	386
omio.com	377
erbegroup.com	361
springer.com	328
wikitravel.org	304
dokumen.pub	300
learning-systems.org	299
agcprojects.de	298
ebird.org	296
iii.com	295
wikidata.org	294
horn-group.com	292
stanford.edu	280
acm.org	276
tuebingenresearchcampus.com	270
dzif.de	263
aanda.org	258
theconversation.com	256
mathgenealogy.org	255
myguide.de	254
minube.net	250
goodreads.com	241
gapines.org	227
t.me	219
computomics.com	217
nature.com	213
triply.cc	199
nih.gov	196
globenewswire.com	194
ancestry.com	194
repec.org	189
ml4aad.org	182
automl.org	181
autoeurope.com	179
lancs.ac.uk	175
engelvoelkers.com	167
leylab.com	167
alphaxiv.org	165
dbpedia.org	159
mewi-projekte.de	157
historicgermany.com	156
edu.au	156
copernicus.org	150
sommerlab.org	149
netz-ak.de	144
startupschool-tuebingen.com	140
iaw.edu	126
wikitree.com	124
abdn.ac.uk	118
citypopulation.de	116
tuebingen.ai	116
exlibrisgroup.com	116
hertie.ai	113
vivat-lingua.de	109
whowaswho-indology.info	106
newadvent.org	105
neuroschool-tuebingen.de	103
whattime.is	103
biorxiv.org	101
epdf.pub	101
dzne.de	100
study-in-germany.com	99
artist-info.com	98
archdaily.com	94
devcompsy.org	91
elifesciences.org	90
plos.org	85
maddox.ai	83
uni-heidelberg.de	81
senckenberg.de	80
krone-tuebingen.de	79
gdch.de	79
atlasobscura.com	79
cambridge.org	78
perfdrive.com	71
inta-csic.es	71
wordpress.com	69
dzd-ev.de	69
wellcomecollection.org	69
ovesco.com	68
mi-incubator.com	66
geogenarch-tuebingen.de	66
wikisource.org	62
uni-mannheim.de	62
peakvisor.com	62
europa.eu	61
tumblr.com	61
lancaster-university.uk	60
mastodonshare.com	57
eye-tuebingen.de	56
getty.edu	56
numbeo.com	56
preissl-lab.net	56
kazolias.com	56
cepr.org	54
ac.at	53
academics.com	52
bccn-tuebingen.de	49
tum.de	48
hercjobs.org	48
gwdg.de	46
tscnlab.org	46
civis.eu	45
mlcolab.org	44
machinelearningforscience.de	43
unc.edu	43
nndb.com	43
wissenschaftscampus-tuebingen.de	42
hypotheses.org	42
mygermanuniversity.com	41
zenodo.org	41
dblp.org	41
caaconference.org	41
apple.com	40
distantvantagepoint.com	40
g-vo.org	40
militaryingermany.com	39
kaufmannlab.org	39
youtube.com	38
cloudno7.de	37
realestate.com.au	36
visit-bw.com	36
crossref.org	36
wiley.com	36
hsozkult.de	36
history-computer.com	36
openaire.eu	35
meetup.com	34
cpal.cc	34
amazon.com	34
eduniversal-ranking.com	34
museum-digital.org	33
limits2vision.net	32
thesaurus-linguae-aegyptiae.de	32
eliza.school	32
ipu-berlin.de	32
arrenberg-lab.de	31
google.com	31
